Timestamp,Name (Optional),Age (Optional),Gender,Have you thought of working while studying?,"If you were to work while studying, where do you plan to work?",What are the factors that will motivate a student like you to take a part time job?,Do you think having a part time job will affect your academic performance negatively?,How will you rate the stress level of a working student?,"In this time of pandemic, how easy will it be for you to balance studying and working?"
2021/09/11 1:16:45 PM GMT+8,JM,21,Male,Yes,Fast food chains,To provide for my family,No,3,4
2021/09/11 1:16:59 PM GMT+8,,,Female,Yes,As a tutor,To support your own studies,Yes,3,2
2021/09/11 1:17:54 PM GMT+8,Xyrene,18,Female,Yes,Fast food chains,To provide for my family,No,4,4
2021/09/11 1:18:23 PM GMT+8,Trixie,17,Female,Yes,Fast food chains,To provide for my family,Yes,4,4
2021/09/11 1:19:40 PM GMT+8,Jamaica,21,Female,Yes,As a freelancer,To support your own studies,No,4,4
2021/09/11 1:20:23 PM GMT+8,Bebang,20,Female,Yes,As a tutor,To support your own studies,No,3,4
2021/09/11 1:21:21 PM GMT+8,Angelica,20,Female,Yes,As a tutor,To explore,No,2,4
2021/09/11 1:22:54 PM GMT+8,Maida,19,Female,Yes,As a tutor,To provide for my family,No,4,4
2021/09/11 1:23:15 PM GMT+8,,,Male,Yes,Fast food chains,To support your own studies,No,3,3
2021/09/11 1:23:59 PM GMT+8,Jhaira,19,Female,Yes,As a tutor,To explore,No,3,4
2021/09/11 1:24:17 PM GMT+8,Jairus,20,Male,Yes,Fast food chains,To support your own studies,No,4,4
2021/09/11 1:26:03 PM GMT+8,Errol Lagata,20,Prefer not to say,No,As a freelancer,To explore,Yes,4,4
